,Unnamed: 0,0,1
0,0,Jak tak dobry materiał  można tak dziwacznie zmontować? Ale Naprawde Bardzo Dobre!,1
1,1,"Mocny film dzięki  , w temacie innych historycznych walk i wielkiej historii SZABLi polskiej zapraszam więcej jest tuu u .. . szablotłuk polski",0
2,2,To chyba ten dokument do którego muzykę robił Brylewski a przynajmniej brzmi jak jego ,0
3,3,Chwała i cześć czeczeńskim bojownikom walczącym o wolność i wiarę.,0
4,4,co za badziew wstawiony???,0
